AMC_lineage_names,AMC_id,uuid,CoralNet_LabelID,CoralNet_ShortCode
1.1 Biota > Crustacea > Prawns / shrimps / mysids,522,f24cfd60-3eed-4db3-9b74-b6c8fbc2ce78,4171,Cr_Prawn
1.1 Biota > Echinoderms > Feather stars > Stalked crinoids,525,e42d30c1-29bc-4b0b-9336-baf15da22975,352,E_Crin_St
1.1 Biota > Echinoderms > Feather stars > Unstalked crinoids,526,82c1c5e9-070e-4089-b5f3-3c814850fcd0,351,E_Crin_US
1.1 Biota > Echinoderms > Sea cucumbers > Benthic,531,531890e9-ba7e-408c-a9b9-daa6edba5cf0,346,E_H_Oth
1.1 Biota > Echinoderms > Sea cucumbers > Benthic > Grey sediment like,28392,03973161-4459-41ee-84cf-979496b2c002,,
1.1 Biota > Echinoderms > Sea cucumbers > Benthic > Suspension feeder,28393,6a3983bb-268b-4cb3-b94d-419dbc6c01b6,11360,SC_SF
1.1 Biota > Echinoderms > Sea cucumbers > Benthic > Suspension feeder > Buried,28394,12fd1240-87b0-48d4-afc1-cbcf16d877a4,11335,SC_B_SF
1.1 Biota > Echinoderms > Sea cucumbers > Benthic > Suspension feeder > Buried > Red tentacles,28395,9e98618f-4fc4-4350-84e0-21573c46e4af,,
1.1 Biota > Echinoderms > Sea stars,533,e0b9fa0e-688f-41cf-9219-86955cd32624,344,ESS
1.1 Biota > Echinoderms > Sea stars > Labidiaster annulatus,28390,4813ae17-d1ed-48ad-a96d-f21e4e3b7eee,,
1.1 Biota > Echinoderms > Sea stars > Ophiuroids > Basket stars,528,222b5f1c-d29d-4429-a1f2-631d1404d763,348,EOBS
1.1 Biota > Echinoderms > Sea stars > Ophiuroids > Brittle / snake stars > Curly arms,28396,fc2d24c6-7030-4bda-94fe-76d9b017ec21,11375,EOBS_CA
1.1 Biota > Echinoderms > Sea stars > Ophiuroids > Brittle / snake stars,529,7693da8e-f9ce-4292-bb6e-ffd14c5baa30,11349,brittle
1.1 Biota > Echinoderms > Sea stars > Ophiuroids > Brittle / snake stars > Ophiomyxa bengalensis,15005,3b0542b2-3f16-448d-b90a-8186cab354be,,
1.1 Biota > Echinoderms > Sea stars > Ophiuroids > Brittle / snake stars > Suspension feeders,28398,75525ef6-11f1-4e0e-b130-efc49c65fe8c,4178,E_A_SF
1.1 Biota > Echinoderms > Sea stars > Ophiuroids > Brittle / snake stars > Suspension feeders > Six arms,28399,01d854ad-5aa1-4673-b515-8d90e3816cd7,4179,E_A_SF
1.1 Biota > Echinoderms > Sea stars > Pentagon shaped,28389,53d77aaa-164b-42de-b1d4-ed5702f2db3a,4177,E_A_Penta
1.1 Biota > Echinoderms > Sea urchins > Irregular urchins,535,3ea5341b-eca9-44bf-84d5-ee760a963887,356,E_E_Irreg
1.1 Biota > Echinoderms > Sea urchins > Regular urchins,536,8cf5a09b-67b0-44c4-8f3b-91f0790cccbd,343,E_E_RegOth
1.1 Biota > Echinoderms > Sea urchins > Regular urchins > Pencil urchins,28391,2678e98d-10d7-43da-bec6-6d7b6fe49695,4180,E_E_RegPen
1.1 Biota > Fishes > Bony fishes,538,194ba19d-645c-4e77-80f9-db8c3aef28fa,4192,BonyFish
1.1 Biota > Fishes > Bony fishes > Fish eggs,28411,8e3f3cff-62aa-4960-8ab6-e1155c4223ee,4700,FishEggs
1.1 Biota > Fishes > Elasmobranchs > Rays & skates,542,ee249b4c-8a38-480f-9670-ce7e7586f787,4193,RaySkate
1.1 Biota > General Unknown Biology,7320,0757b67a-90cf-49d7-940c-13e08e42cf79,4215,UBS
1.1 Biota > General Unknown Biology > Branching,28432,c6a86a77-d4c9-454e-b007-ba09c330f488,,
1.1 Biota > General Unknown Biology > Potentially identifiable,28433,cfbc44b0-c7d4-4443-b988-782e3237b00a,,
1.1 Biota > General Unknown Biology > Stalk,28431,b0b47b35-6655-4701-9d6c-0be42ab3aea6,4472,Stalk
1.1 Biota > General Unknown Biology > Stick,28430,16a56571-ece6-467b-b396-395803bd7c34,4220,Stick
1.1 Biota > Jellies,544,70acdbe1-b328-4ab1-9ce9-25062a73e23e,4181,Jellies
1.1 Biota > Jellies > Ctenophores,545,7ba2fafa-a1b7-45a5-af97-be20ec766fc8,,
